City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
342,nur,92,PL,1526325752,51,52.67,22.32,62.21,13.67
343,north port,75,US,1526325300,88,27.04,-82.24,78.8,10.29
344,liku,24,ID,1526325752,100,-0.73,119.89,76.88,3.49
345,anisoc,68,GQ,1526325752,88,1.87,10.77,76.34,2.37
346,zhezkazgan,0,KZ,1526325752,53,47.8,67.71,44.57,4.72
347,ostrovnoy,100,RU,1526325752,86,68.05,39.51,37.82,10.2
348,leshukonskoye,32,RU,1526325753,69,64.9,45.76,49.97,4.16
349,moree,0,AU,1526325753,90,-29.46,149.84,47.09,5.61
350,shingu,0,JP,1526325753,90,33.72,135.99,65.63,5.28
351,rio de janeiro,40,BR,1526324400,78,-22.91,-43.21,78.8,12.75
352,faya,0,SA,1526320800,44,18.39,42.45,75.2,6.93
353,inirida,44,CO,1526325753,74,3.87,-67.92,84.26,2.93
354,namtsy,88,RU,1526325753,98,62.72,129.66,37.1,5.06
355,sumenep,44,ID,1526325754,97,-7.02,113.87,83.45,11.43
356,ilo,0,PE,1526325754,75,-17.65,-71.34,69.14,3.6
357,okato,92,NZ,1526325754,100,-39.19,173.88,58.07,8.52
358,praya,90,ID,1526324400,88,-8.71,116.27,78.8,11.41
359,srednekolymsk,24,RU,1526325754,80,67.46,153.71,25.49,4.5
360,burnie,80,AU,1526325754,100,-41.05,145.91,55.37,14.45
361,karakol,92,KG,1526325755,100,42.49,78.39,40.88,2.82
362,arlit,80,NE,1526325755,12,18.74,7.39,98.03,3.38
363,asimion,20,GR,1526322000,100,35.05,25.1,68.0,10.65
364,safford,1,US,1526323860,18,32.83,-109.71,84.2,7.63
365,la ronge,90,CA,1526324400,35,55.1,-105.3,55.4,10.29
366,cuxhaven,0,DE,1526322000,43,53.87,8.7,71.6,13.87
367,cardonal,75,CL,1526324400,62,-41.46,-72.99,53.6,9.17
368,roald,75,NO,1526323800,100,62.58,6.12,55.4,6.93
369,coquimbo,0,CL,1526324400,67,-29.95,-71.34,62.6,9.17
370,merauke,56,ID,1526325756,98,-8.49,140.4,78.59,12.66
371,altamont,1,CA,1526324100,26,49.4,-98.5,71.6,17.22
372,zimmi,8,SL,1526325756,79,7.31,-11.31,82.37,5.28
373,mahibadhoo,32,MV,1526325757,100,3.78,72.97,84.89,5.28
374,sorland,0,NO,1526323800,67,67.67,12.69,57.2,2.24
375,kitimat,75,CA,1526320800,55,54.02,-128.69,60.8,5.82
376,neya,0,RU,1526325757,45,58.29,43.89,65.0,4.16
377,cassilandia,48,BR,1526325522,89,-19.11,-51.73,78.14,7.96
378,skovorodino,0,RU,1526325757,89,53.99,123.94,37.91,2.82
379,bilibino,92,RU,1526325757,95,68.06,166.44,32.33,3.6
380,sergeyevka,36,KZ,1526325757,54,53.88,67.42,48.44,16.24
381,zwedru,64,LR,1526325758,86,6.07,-8.13,78.77,6.17
382,esperance,40,TT,1526324400,58,10.24,-61.45,87.8,18.34
383,takoradi,88,GH,1526325758,96,4.89,-1.75,80.66,7.18
384,guasdualito,75,VE,1526320800,100,7.24,-70.73,75.2,3.36
385,goya,0,AR,1526325758,71,-29.14,-59.27,76.34,9.19
